统计时段,起始时间(s),结束时间(s),最大排队长度(m),最小排队长度(m),平均排队长度(m),平均排队车辆数(n)
1,1,200,58.12,0.00,16.28,2.95
2,201,400,79.23,0.00,26.40,4.79
3,401,600,89.55,0.00,35.20,5.78
4,601,800,109.97,0.00,37.78,6.61
5,801,1000,123.95,0.00,38.92,6.61
6,1001,1200,73.91,0.00,34.43,5.80
7,1201,1400,79.26,0.00,24.57,3.78
