统计时段,起始时间(s),结束时间(s),最大排队长度(m),最小排队长度(m),平均排队长度(m),平均排队车辆数(n)
1,1,200,24.26,0.00,2.57,0.48
2,201,400,137.05,0.00,50.70,16.67
3,401,600,134.72,0.00,35.46,11.20
4,601,800,132.45,0.00,62.05,23.66
5,801,1000,132.68,0.00,73.64,24.13
6,1001,1200,290.73,0.00,93.83,19.81
7,1201,1400,29.92,0.00,8.22,1.54
