统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,19.3312,3.3914,11
2,301,600,22.9145,9.2450,28
3,601,900,24.4271,7.1436,29
4,901,1200,23.4678,7.5381,30
5,1201,1500,24.6317,3.3680,13
