统计时段,起始时间(s),结束时间(s),最大排队长度(m),最小排队长度(m),平均排队长度(m),平均排队车辆数(n)
1,1,200,4.89,0.00,1.44,0.29
2,201,400,98.64,0.00,40.89,6.93
3,401,600,103.37,0.00,32.93,5.68
4,601,800,112.60,0.00,52.23,8.57
5,801,1000,88.48,0.00,41.21,7.24
6,1001,1200,86.97,0.00,27.59,4.69
7,1201,1400,24.92,10.11,17.17,3.08
