统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,21.4804,3.9621,32
2,301,600,20.9605,10.6721,85
3,601,900,20.3797,11.3466,87
4,901,1200,20.4479,11.4401,89
5,1201,1500,21.5301,1.0219,9
