统计时段,起始时间(s),结束时间(s),最大排队长度(m),最小排队长度(m),平均排队长度(m),平均排队车辆数(n)
1,1,200,96.49,0.00,37.99,10.09
2,201,400,115.18,0.00,71.70,16.96
3,401,600,128.13,0.00,79.47,31.16
4,601,800,120.93,0.00,71.88,42.58
5,801,1000,135.58,0.00,71.37,43.06
6,1001,1200,145.47,0.00,85.94,62.19
7,1201,1400,140.95,0.00,30.88,21.26
