统计时段,起始时间(s),结束时间(s),最大排队长度(m),最小排队长度(m),平均排队长度(m),平均排队车辆数(n)
1,1,200,53.77,0.00,12.08,2.10
2,201,400,51.72,0.00,4.74,0.88
3,401,600,82.98,0.00,24.63,4.29
4,601,800,53.55,0.00,23.66,4.21
5,801,1000,80.24,0.00,15.51,2.81
6,1001,1200,85.81,0.00,21.11,3.29
7,1201,1400,4.57,4.57,4.57,1.00
