统计时段,起始时间(s),结束时间(s),最大排队长度(m),最小排队长度(m),平均排队长度(m),平均排队车辆数(n)
1,1,200,63.52,0.00,13.80,2.44
2,201,400,67.51,0.00,4.44,0.92
3,401,600,122.22,0.00,34.72,5.78
4,601,800,59.64,0.00,27.24,5.54
5,801,1000,89.74,0.00,20.09,3.08
6,1001,1200,80.41,0.00,24.87,4.61
7,1201,1400,10.22,10.22,10.22,2.00
