统计时段,起始时间(s),结束时间(s),最大排队长度(m),最小排队长度(m),平均排队长度(m),平均排队车辆数(n)
1,1,200,42.17,0.00,8.72,1.55
2,201,400,40.07,0.00,2.44,0.50
3,401,600,76.89,0.00,21.06,3.65
4,601,800,48.28,0.00,16.85,2.96
5,801,1000,65.46,0.00,13.28,2.35
6,1001,1200,55.82,0.00,17.83,3.10
7,1201,1400,4.72,4.72,4.73,1.00
