统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,21.3152,7.9378,63
2,301,600,20.9822,10.8906,85
3,601,900,21.3891,10.3725,84
4,901,1200,21.0027,11.7133,92
5,1201,1500,21.0837,1.6459,13
