统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,43.6777,3.2052,23
2,301,600,42.3414,6.2115,48
3,601,900,40.5468,6.6017,48
4,901,1200,37.3482,6.5042,40
5,1201,1500,45.5657,0.8481,7
