统计时段,起始时间(s),结束时间(s),最大排队长度(m),最小排队长度(m),平均排队长度(m),平均排队车辆数(n)
1,1,200,77.75,0.00,14.79,2.54
2,201,400,18.60,0.00,5.18,0.96
3,401,600,109.07,0.00,27.13,4.01
4,601,800,62.39,0.00,15.62,2.56
5,801,1000,30.90,0.00,3.90,0.73
6,1001,1200,121.77,0.00,27.75,4.68
7,1201,1400,22.43,0.00,7.96,1.42
