统计时段,起始时间(s),结束时间(s),最大排队长度(m),最小排队长度(m),平均排队长度(m),平均排队车辆数(n)
1,1,200,79.02,0.00,15.66,2.71
2,201,400,51.85,0.00,13.98,2.38
3,401,600,147.41,0.00,62.18,9.79
4,601,800,119.95,0.00,28.08,4.54
5,801,1000,53.38,0.00,8.38,1.51
6,1001,1200,114.44,0.00,43.21,7.39
7,1201,1400,34.67,0.00,12.38,2.14
