统计时段,起始时间(s),结束时间(s),最大排队长度(m),最小排队长度(m),平均排队长度(m),平均排队车辆数(n)
1,1,200,46.35,0.00,13.48,2.13
2,201,400,17.92,0.00,6.15,1.21
3,401,600,55.11,0.00,17.63,3.18
4,601,800,38.50,0.00,12.38,2.15
5,801,1000,29.12,0.00,3.87,0.77
6,1001,1200,85.47,0.00,19.21,2.94
7,1201,1400,29.92,0.00,10.66,1.42
