统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,23.9476,0.7219,6
2,301,600,21.0312,5.7570,45
3,601,900,20.2352,7.8752,60
4,901,1200,20.0180,7.1884,54
5,1201,1500,21.3021,2.6703,20
