统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,29.9158,2.5659,12
2,301,600,28.4192,7.7524,17
3,601,900,29.3259,6.1249,24
4,901,1200,31.7708,6.2287,26
5,1201,1500,18.5475,1.6049,4
