线路编号,线路名称,车辆ID,行驶区间,乘客数,行程距离(m),行程时间(s),车辆停车次数,车辆停车时间(s),车辆区间停车时间(s),车辆站点停靠时间(s),站点编号,上客数,下客数,乘客站点平均侯车时间(s),乘客总候车时间(s),乘客总停车时间(s),乘客区间总停车时间(s),乘客区间平均停车时间(s),乘客站点总停车时间(s),乘客站点平均停车时间(s)
2,2,500001,->,10,801.74,58.70,0,0.00,0.00,0.00, ,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,2,500002,->,10,723.61,61.85,0,0.00,0.00,0.00, ,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
