统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,60,72.8000,0.3940,1
2,61,120,69.6519,1.6029,4
3,121,180,69.0242,1.9591,5
4,181,240,65.9703,4.2231,10
5,241,300,66.6450,4.0490,10
6,301,360,65.8025,3.7887,9
7,361,420,69.6489,1.5356,4
8,421,480,70.0108,1.5417,4
