统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
2,61,120,68.2846,4.8675,12
3,121,180,65.7184,7.5969,18
4,181,240,63.1534,8.4843,20
5,241,300,62.4208,8.9255,21
6,301,360,62.6251,9.1381,21
7,361,420,64.4497,8.3337,20
8,421,480,60.4282,10.4171,23
9,481,540,61.4273,4.3523,10
