统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,300002,36,25,大客车,11.44,38.30,34.16,2.47,994.28,3600.00
1,300006,56,25,小客车,4.89,57.90,10.15,0.00,997.55,3600.00
1,300011,169,22,小客车,4.75,55.00,14.44,3.18,7.43,1.85
1,300016,171,31,小客车,4.30,46.00,23.07,2.48,11.46,1.79
1,300028,173,97,小客车,4.96,59.10,28.13,1.58,13.86,1.77
1,300040,207,107,小客车,4.54,50.90,11.17,0.00,997.73,3600.00
2,300059,321,62,小客车,4.80,56.10,22.17,2.40,11.49,1.87
2,300069,319,25,小客车,4.51,50.30,12.05,2.88,5.73,1.71
2,300070,323,132,小客车,4.89,57.80,26.14,0.87,12.85,1.77
2,300089,325,94,小客车,4.86,57.10,24.93,0.20,11.95,1.72
2,300090,328,92,小客车,4.89,57.90,25.09,0.39,11.94,1.71
2,300091,330,87,小客车,4.89,57.90,26.36,0.50,12.49,1.71
2,300096,332,73,小客车,4.17,43.40,26.40,0.35,12.38,1.69
2,300107,334,43,小客车,4.24,44.70,26.10,0.19,12.21,1.68
