统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,21.2592,5.0991,17
2,301,600,21.4424,8.5180,31
3,601,900,19.8979,8.3552,29
4,901,1200,21.3054,8.4325,30
5,1201,1500,20.7064,9.6416,31
6,1501,1800,21.7149,8.4051,31
7,1801,2100,20.4185,10.1598,32
8,2101,2400,21.5663,7.6422,30
