线路编号,线路名称,车辆ID,总上车乘客,总行程距离(m),总行程时间(s),车辆停车次数,车辆停车时间(s),车辆区间停车时间(s),车辆站点停靠时间(s),乘客站点总候车时间(s),乘客站点平均候车时间(s),乘客总停车时间(s),乘客区间总停车时间(s),乘客站点总停车时间(s)
4337,156路,1000001,20,1188.97,299.70,2,164.60,129.60,35.00,1017.30,101.73,2053.00,1701.00,352.00
4337,156路,1000002,17,1189.60,265.70,2,130.90,101.90,29.00,608.90,86.99,1435.60,1165.60,270.00
4337,156路,1000003,19,1189.22,231.70,2,96.70,63.70,33.00,804.60,89.40,1187.80,857.80,330.00
4337,156路,1000004,18,1189.34,201.80,1,63.60,32.60,31.00,691.10,86.39,722.80,423.80,299.00
4337,156路,1000005,19,1188.60,166.50,0,33.00,0.00,33.00,865.50,96.17,330.00,0.00,330.00
4337,156路,1000006,20,1189.21,279.00,2,134.50,99.50,35.00,1083.80,108.38,1745.30,1393.30,352.00
4337,156路,1000007,23,1188.38,256.10,1,129.60,88.60,41.00,1774.90,136.53,1350.00,886.00,464.00
4337,156路,1000008,18,1188.83,228.50,1,98.90,67.90,31.00,643.00,80.38,987.00,679.00,308.00
4337,156路,1000009,18,1188.87,205.90,1,79.60,48.60,31.00,622.60,77.83,785.00,486.00,299.00
4337,156路,1000010,17,1188.20,184.30,1,57.60,28.60,29.00,611.00,87.29,556.00,286.00,270.00
4337,156路,1000011,19,1189.08,256.00,2,107.90,74.90,33.00,837.90,93.10,1355.40,1025.40,330.00
4337,156路,1000012,18,1189.14,217.70,1,91.50,60.50,31.00,643.40,80.42,1085.50,786.50,299.00
4337,156路,1000013,16,669.32,91.90,0,22.00,0.00,22.00,567.90,94.65,209.00,0.00,209.00
