统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,25.0000,1.1350,2
2,301,600,6.8210,4.2540,2
3,601,900,6.6968,2.1535,1
4,901,1200,25.0000,1.1517,2
5,1201,1500,16.4351,2.3217,2
6,1501,1800,7.1522,1.9671,1
7,1801,2100,16.8158,2.1700,2
8,2101,2400,25.0000,0.5918,1
