线路编号,线路名称,车辆ID,总上车乘客,总行程距离(m),总行程时间(s),车辆停车次数,车辆停车时间(s),车辆区间停车时间(s),车辆站点停靠时间(s),乘客站点总候车时间(s),乘客站点平均候车时间(s),乘客总停车时间(s),乘客区间总停车时间(s),乘客站点总停车时间(s)
4309,11路,400001,11,1139.91,188.90,0,7.00,0.00,7.00,30.70,30.70,63.00,0.00,63.00
4309,11路,400002,13,1142.46,210.80,2,17.30,6.30,11.00,212.10,70.70,164.40,65.40,99.00
4309,11路,400003,13,1140.46,343.00,6,145.50,134.50,11.00,200.10,66.70,1640.40,1541.40,99.00
4309,11路,400004,13,1141.34,358.10,2,82.70,71.70,11.00,242.70,80.90,891.40,792.40,99.00
4309,11路,400005,13,1143.13,360.40,4,128.40,117.40,11.00,249.90,83.30,1343.40,1244.40,99.00
4309,11路,400006,12,1142.10,359.30,5,128.20,119.20,9.00,164.60,82.30,1310.70,1229.70,81.00
4309,11路,400007,13,1141.42,378.40,6,156.80,145.80,11.00,205.50,68.50,1690.20,1591.20,99.00
4309,11路,400008,12,1139.88,382.10,6,89.60,80.60,9.00,140.00,70.00,946.90,865.90,81.00
4309,11路,400009,13,1145.07,387.50,5,153.50,142.50,11.00,326.10,108.70,1598.40,1499.40,99.00
4309,11路,400010,12,1145.68,388.40,6,140.00,131.00,9.00,146.80,73.40,1458.80,1377.80,81.00
4309,11路,400011,13,1141.43,395.20,4,126.90,115.90,11.00,306.00,102.00,1367.00,1268.00,99.00
4309,11路,400012,13,1139.25,402.20,3,96.70,85.70,11.00,263.40,87.80,1027.40,928.40,99.00
4309,11路,400013,10,1142.47,245.80,4,47.90,47.90,0.00,0.00,0.00,479.00,479.00,0.00
4309,11路,400014,13,1146.04,267.00,2,61.50,50.50,11.00,225.00,75.00,686.60,587.60,99.00
4309,11路,400015,10,147.14,191.90,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4309,11路,400016,10,107.56,41.90,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
