统计时段,起始时间(s),结束时间(s),平均行程时间(s),平均行程距离(m),车均延误(s),车辆数
1,1,300,19.50,134.11,0.19,1
2,301,600,19.50,134.11,0.19,2
3,601,900,25.15,134.11,5.84,2
4,901,1200,42.30,134.11,22.99,2
5,1201,1500,61.45,134.11,42.14,2
6,1501,1800,73.50,134.11,54.19,2
7,1801,2100,83.55,134.11,64.24,2
8,2101,2400,91.30,134.11,71.99,1
