线路编号,线路名称,车辆ID,行驶区间,乘客数,行程距离(m),行程时间(s),车辆停车次数,车辆停车时间(s),车辆区间停车时间(s),车辆站点停靠时间(s),站点编号,上客数,下客数,乘客站点平均侯车时间(s),乘客总候车时间(s),乘客总停车时间(s),乘客区间总停车时间(s),乘客区间平均停车时间(s),乘客站点总停车时间(s),乘客站点平均停车时间(s)
4327,32路,800011,4247->,11,433.62,122.70,1,52.00,52.00,0.00, ,0,0,0.00,0.00,572.00,572.00,52.00,0.00,0.00
4327,32路,800012,->4246,10,416.20,98.30,1,22.20,13.20,9.00,4246,2,1,67.30,134.60,213.00,132.00,13.20,81.00,9.00
4327,32路,800012,4246->4245,11,78.49,30.70,0,11.00,0.00,11.00,4245,3,2,68.00,204.00,99.00,0.00,0.00,99.00,11.00
4327,32路,800012,4245->4247,12,257.71,69.20,1,16.50,5.50,11.00,4247,3,2,77.20,231.60,176.00,66.00,5.50,110.00,11.00
4327,32路,800012,4247->,13,433.62,125.20,1,54.50,54.50,0.00, ,0,0,0.00,0.00,708.50,708.50,54.50,0.00,0.00
4327,32路,800013,->4246,10,416.09,126.30,1,50.20,39.20,11.00,4246,3,1,65.30,195.90,491.00,392.00,39.20,99.00,11.00
4327,32路,800013,4246->4245,12,78.49,28.70,0,9.00,0.00,9.00,4245,2,2,64.00,128.00,90.00,0.00,0.00,90.00,9.00
4327,32路,800013,4245->4247,12,257.71,84.20,1,31.50,22.50,9.00,4247,2,2,88.20,176.40,360.00,270.00,22.50,90.00,9.00
4327,32路,800013,4247->,12,433.62,124.20,1,53.50,53.50,0.00, ,0,0,0.00,0.00,642.00,642.00,53.50,0.00,0.00
4327,32路,800014,->4246,10,415.94,150.30,1,74.30,65.30,9.00,4246,2,1,59.30,118.60,734.00,653.00,65.30,81.00,9.00
4327,32路,800014,4246->4245,11,78.49,28.70,0,9.00,0.00,9.00,4245,2,2,88.00,176.00,81.00,0.00,0.00,81.00,9.00
4327,32路,800014,4245->4247,11,257.71,105.20,1,52.50,41.50,11.00,4247,3,2,103.20,309.60,555.50,456.50,41.50,99.00,11.00
4327,32路,800014,4247->,12,433.59,123.30,1,50.30,50.30,0.00, ,0,0,0.00,0.00,603.60,603.60,50.30,0.00,0.00
4327,32路,800015,->4246,10,415.68,75.60,0,7.00,0.00,7.00,4246,1,1,14.60,14.60,63.00,0.00,0.00,63.00,7.00
