统计时段,起始时间(s),结束时间(s),平均行程时间(s),平均行程距离(m),车均延误(s),车辆数
1,1,300,19.10,123.80,1.27,2
2,301,600,71.20,123.96,53.35,1
3,601,900,33.65,123.98,15.80,2
4,901,1200,19.00,123.80,1.17,2
5,1201,1500,19.00,124.32,1.10,1
6,1501,1800,63.65,123.80,45.82,2
7,1801,2100,22.55,123.98,4.70,2
8,2101,2400,19.00,123.96,1.15,1
