统计时段,起始时间(s),结束时间(s),平均行程时间(s),平均行程距离(m),车均延误(s),车辆数
1,1,300,61.20,154.15,40.26,2
2,301,600,60.20,154.25,40.84,7
3,601,900,59.72,154.08,41.74,8
4,901,1200,60.78,154.07,42.36,10
5,1201,1500,61.08,154.03,42.31,11
6,1501,1800,57.75,154.09,38.88,11
7,1801,2100,62.48,154.06,43.92,9
8,2101,2400,60.36,154.02,41.24,10
