统计时段,起始时间(s),结束时间(s),平均行程时间(s),平均行程距离(m),车均延误(s),车辆数
1,1,300,26.49,208.57,0.30,9
2,301,600,33.15,208.49,7.46,25
3,601,900,26.48,208.94,0.73,21
4,901,1200,32.76,208.82,7.02,29
5,1201,1500,26.23,208.78,1.17,27
6,1501,1800,28.38,208.97,2.74,28
7,1801,2100,29.91,209.00,3.75,25
8,2101,2400,35.35,208.85,9.53,18
