线路编号,线路名称,车辆ID,总上车乘客,总行程距离(m),总行程时间(s),车辆停车次数,车辆停车时间(s),车辆区间停车时间(s),车辆站点停靠时间(s),乘客站点总候车时间(s),乘客站点平均候车时间(s),乘客总停车时间(s),乘客区间总停车时间(s),乘客站点总停车时间(s)
4312,12路,500001,10,866.34,349.30,2,191.60,179.60,12.00,0.00,0.00,1645.60,1543.60,102.00
4312,12路,500002,10,867.68,205.80,1,52.30,40.30,12.00,0.00,0.00,424.40,322.40,102.00
4312,12路,500003,10,866.13,197.90,1,47.30,35.30,12.00,0.00,0.00,384.40,282.40,102.00
4312,12路,500004,10,866.12,194.00,1,43.30,31.30,12.00,0.00,0.00,352.40,250.40,102.00
4312,12路,500005,10,866.69,192.90,1,40.60,28.60,12.00,0.00,0.00,330.80,228.80,102.00
4312,12路,500006,10,866.62,188.50,1,36.80,24.80,12.00,0.00,0.00,300.40,198.40,102.00
4312,12路,500007,10,866.97,186.20,1,34.60,22.60,12.00,0.00,0.00,282.80,180.80,102.00
4312,12路,500008,10,867.14,179.00,1,27.10,15.10,12.00,0.00,0.00,222.80,120.80,102.00
4312,12路,500009,10,866.05,171.20,1,20.60,8.60,12.00,0.00,0.00,170.80,68.80,102.00
4312,12路,500010,10,866.66,167.20,1,12.70,0.70,12.00,0.00,0.00,107.60,5.60,102.00
4312,12路,500011,10,866.39,166.60,1,13.50,1.50,12.00,0.00,0.00,115.50,13.50,102.00
4312,12路,500012,10,866.32,169.00,1,18.60,6.60,12.00,0.00,0.00,161.40,59.40,102.00
4312,12路,500013,10,866.60,173.90,1,23.60,11.60,12.00,0.00,0.00,206.40,104.40,102.00
4312,12路,500014,10,866.91,178.90,1,28.50,16.50,12.00,0.00,0.00,250.50,148.50,102.00
4312,12路,500015,10,503.72,240.90,1,33.60,21.60,12.00,0.00,0.00,296.40,194.40,102.00
4312,12路,500016,10,287.27,90.90,0,6.00,0.00,6.00,0.00,0.00,54.00,0.00,54.00
