线路编号,线路名称,车辆ID,行驶区间,乘客数,行程距离(m),行程时间(s),车辆停车次数,车辆停车时间(s),车辆区间停车时间(s),车辆站点停靠时间(s),站点编号,上客数,下客数,乘客站点平均侯车时间(s),乘客总候车时间(s),乘客总停车时间(s),乘客区间总停车时间(s),乘客区间平均停车时间(s),乘客站点总停车时间(s),乘客站点平均停车时间(s)
4312,12路,500001,->4237,10,91.30,27.80,0,6.00,0.00,6.00,4237,0,1,0.00,0.00,54.00,0.00,0.00,54.00,6.00
4312,12路,500001,4237->4242,9,313.26,173.90,1,112.80,106.80,6.00,4242,0,1,0.00,0.00,1009.20,961.20,106.80,48.00,6.00
4312,12路,500001,4242->,8,461.78,147.60,1,72.80,72.80,0.00, ,0,0,0.00,0.00,582.40,582.40,72.80,0.00,0.00
4312,12路,500002,->4237,10,91.42,27.90,0,6.00,0.00,6.00,4237,0,1,0.00,0.00,54.00,0.00,0.00,54.00,6.00
4312,12路,500002,4237->4242,9,313.66,59.60,0,6.00,0.00,6.00,4242,0,1,0.00,0.00,48.00,0.00,0.00,48.00,6.00
4312,12路,500002,4242->,8,462.60,118.30,1,40.30,40.30,0.00, ,0,0,0.00,0.00,322.40,322.40,40.30,0.00,0.00
4312,12路,500003,->4237,10,91.75,27.80,0,6.00,0.00,6.00,4237,0,1,0.00,0.00,54.00,0.00,0.00,54.00,6.00
4312,12路,500003,4237->4242,9,312.95,59.40,0,6.00,0.00,6.00,4242,0,1,0.00,0.00,48.00,0.00,0.00,48.00,6.00
4312,12路,500003,4242->,8,461.44,110.70,1,35.30,35.30,0.00, ,0,0,0.00,0.00,282.40,282.40,35.30,0.00,0.00
4312,12路,500004,->4237,10,91.78,27.80,0,6.00,0.00,6.00,4237,0,1,0.00,0.00,54.00,0.00,0.00,54.00,6.00
4312,12路,500004,4237->4242,9,312.95,59.40,0,6.00,0.00,6.00,4242,0,1,0.00,0.00,48.00,0.00,0.00,48.00,6.00
4312,12路,500004,4242->,8,461.39,106.80,1,31.30,31.30,0.00, ,0,0,0.00,0.00,250.40,250.40,31.30,0.00,0.00
4312,12路,500005,->4237,10,91.29,27.90,0,6.00,0.00,6.00,4237,0,1,0.00,0.00,54.00,0.00,0.00,54.00,6.00
