统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,25.2786,3.0390,12
2,301,600,24.0857,6.7927,30
3,601,900,24.4012,7.4136,32
4,901,1200,24.4641,6.4960,29
5,1201,1500,24.2812,6.0585,27
6,1501,1800,24.6432,7.3167,29
7,1801,2100,24.7430,6.1037,24
8,2101,2400,24.0881,5.3338,22
