统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,25.8585,0.8253,4
2,301,600,24.5163,3.0063,14
3,601,900,25.6663,2.9924,14
4,901,1200,24.4894,4.3784,18
5,1201,1500,22.9753,4.9440,19
6,1501,1800,24.4286,4.4390,20
7,1801,2100,24.9748,4.1214,17
8,2101,2400,24.5505,3.7413,17
