统计时段,起始时间(s),结束时间(s),平均行程时间(s),平均行程距离(m),车均延误(s),车辆数
1,1,300,80.50,160.40,57.40,2
2,301,600,23.20,159.89,0.18,2
3,601,900,23.30,160.21,0.23,2
4,901,1200,23.30,160.41,0.20,2
5,1201,1500,25.55,160.25,2.47,2
6,1501,1800,34.90,160.21,11.83,2
7,1801,2100,44.95,160.41,21.85,2
8,2101,2400,52.40,160.60,29.27,1
