统计时段,起始时间(s),结束时间(s),平均行程时间(s),平均行程距离(m),车均延误(s),车辆数
1,1,300,215.70,722.72,111.63,1
2,301,600,181.60,723.04,77.48,2
3,601,900,137.25,723.06,33.13,2
4,901,1200,240.50,723.04,136.38,1
5,1201,1500,203.05,723.35,98.89,2
6,1501,1800,182.70,723.04,78.58,1
7,1801,2100,142.20,722.72,38.13,2
8,2101,2400,123.60,723.40,19.43,1
