统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,22.5185,8.7257,16
2,301,600,23.8324,6.8065,16
3,601,900,22.7222,8.9901,24
4,901,1200,22.3535,11.4556,27
5,1201,1500,22.5618,10.3891,30
6,1501,1800,22.3214,10.1263,25
7,1801,2100,22.7618,14.3523,25
8,2101,2400,25.2662,9.5962,26
