统计时段,起始时间(s),结束时间(s),平均行程时间(s),平均行程距离(m),车均延误(s),车辆数
1,1,300,132.20,798.92,28.71,6
2,301,600,165.47,799.74,64.69,17
3,601,900,188.37,800.21,89.13,20
4,901,1200,179.36,800.27,79.88,22
5,1201,1500,215.91,799.80,118.65,24
6,1501,1800,223.98,800.42,125.71,26
7,1801,2100,195.64,800.18,93.81,22
8,2101,2400,212.89,800.86,112.79,15
