线路编号,线路名称,车辆ID,行驶区间,乘客数,行程距离(m),行程时间(s),车辆停车次数,车辆停车时间(s),车辆区间停车时间(s),车辆站点停靠时间(s),站点编号,上客数,下客数,乘客站点平均侯车时间(s),乘客总候车时间(s),乘客总停车时间(s),乘客区间总停车时间(s),乘客区间平均停车时间(s),乘客站点总停车时间(s),乘客站点平均停车时间(s)
4322,8路,700001,->4240,10,97.47,28.60,0,6.00,0.00,6.00,4240,0,1,0.00,0.00,54.00,0.00,0.00,54.00,6.00
4322,8路,700001,4240->4238,9,251.27,51.50,0,7.00,0.00,7.00,4238,1,1,19.00,19.00,56.00,0.00,0.00,56.00,7.00
4322,8路,700001,4238->,9,789.82,210.70,2,81.30,81.30,0.00, ,0,0,0.00,0.00,731.70,731.70,81.30,0.00,0.00
4322,8路,700002,->4240,10,97.35,33.70,0,11.00,0.00,11.00,4240,3,1,92.70,278.10,99.00,0.00,0.00,99.00,11.00
4322,8路,700002,4240->4238,12,251.59,55.70,0,11.00,0.00,11.00,4238,3,2,88.40,265.20,110.00,0.00,0.00,110.00,11.00
4322,8路,700002,4238->,13,789.82,176.30,2,46.80,46.80,0.00, ,0,0,0.00,0.00,608.40,608.40,46.80,0.00,0.00
4322,8路,700003,->4240,10,97.46,33.70,0,11.00,0.00,11.00,4240,3,1,92.70,278.10,99.00,0.00,0.00,99.00,11.00
4322,8路,700003,4240->4238,12,251.59,109.70,1,57.60,44.60,13.00,4238,4,2,112.40,449.60,665.20,535.20,44.60,130.00,13.00
4322,8路,700003,4238->,14,789.80,114.50,0,0.00,0.00,0.00, ,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4322,8路,700004,->4240,10,97.20,33.70,0,11.00,0.00,11.00,4240,3,1,92.70,278.10,99.00,0.00,0.00,99.00,11.00
4322,8路,700004,4240->4238,12,251.95,80.70,1,28.60,19.60,9.00,4238,2,2,83.40,166.80,325.20,235.20,19.60,90.00,9.00
4322,8路,700004,4238->,12,789.80,114.50,0,0.00,0.00,0.00, ,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4322,8路,700005,->4240,10,97.31,33.70,0,11.00,0.00,11.00,4240,3,1,92.70,278.10,99.00,0.00,0.00,99.00,11.00
4322,8路,700005,4240->4238,12,251.27,57.80,0,11.00,0.00,11.00,4238,3,2,90.50,271.50,110.00,0.00,0.00,110.00,11.00
4322,8路,700005,4238->,13,789.80,114.50,0,0.00,0.00,0.00, ,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4322,8路,700006,->4240,10,97.47,33.70,0,11.00,0.00,11.00,4240,3,1,92.70,278.10,99.00,0.00,0.00,99.00,11.00
4322,8路,700006,4240->4238,12,251.59,55.60,0,11.00,0.00,11.00,4238,3,2,88.30,264.90,110.00,0.00,0.00,110.00,11.00
4322,8路,700006,4238->,13,789.82,231.40,2,102.00,102.00,0.00, ,0,0,0.00,0.00,1326.00,1326.00,102.00,0.00,0.00
4322,8路,700007,->4240,10,97.18,33.70,0,11.00,0.00,11.00,4240,3,1,92.70,278.10,99.00,0.00,0.00,99.00,11.00
4322,8路,700007,4240->4238,12,251.27,55.60,0,11.00,0.00,11.00,4238,3,2,88.30,264.90,110.00,0.00,0.00,110.00,11.00
4322,8路,700007,4238->,13,789.82,206.40,3,76.40,76.40,0.00, ,0,0,0.00,0.00,993.20,993.20,76.40,0.00,0.00
4322,8路,700008,->4240,10,97.41,33.70,0,11.00,0.00,11.00,4240,3,1,92.70,278.10,99.00,0.00,0.00,99.00,11.00
4322,8路,700008,4240->4238,12,251.95,55.60,0,11.00,0.00,11.00,4238,3,2,88.30,264.90,110.00,0.00,0.00,110.00,11.00
4322,8路,700008,4238->,13,790.16,181.40,2,51.40,51.40,0.00, ,0,0,0.00,0.00,668.20,668.20,51.40,0.00,0.00
4322,8路,700009,->4240,10,97.57,33.70,0,11.00,0.00,11.00,4240,3,1,92.70,278.10,99.00,0.00,0.00,99.00,11.00
