统计时段,起始时间(s),结束时间(s),最大排队长度(m),最小排队长度(m),平均排队长度(m),平均排队车辆数(n)
1,1,300,182.33,0.00,24.24,3.92
2,301,600,351.14,0.00,85.86,14.50
3,601,900,339.06,0.00,96.91,15.81
4,901,1200,76.22,0.00,27.55,4.96
5,1201,1500,340.60,0.00,70.82,11.58
6,1501,1800,337.68,0.00,58.35,9.43
7,1801,2100,347.51,0.00,61.15,10.13
8,2101,2400,59.47,0.00,18.37,2.91
