线路编号,线路名称,车辆ID,总上车乘客,总行程距离(m),总行程时间(s),车辆停车次数,车辆停车时间(s),车辆区间停车时间(s),车辆站点停靠时间(s),乘客站点总候车时间(s),乘客站点平均候车时间(s),乘客总停车时间(s),乘客区间总停车时间(s),乘客站点总停车时间(s)
4317,126路,600001,12,1277.70,292.10,2,83.90,74.90,9.00,115.20,57.60,840.10,759.10,81.00
4317,126路,600002,13,1280.46,281.90,1,80.60,69.60,11.00,195.90,65.30,795.00,696.00,99.00
4317,126路,600003,12,1281.54,285.00,1,83.60,74.60,9.00,136.60,68.30,827.00,746.00,81.00
4317,126路,600004,13,1281.86,292.10,1,90.60,79.60,11.00,225.90,75.30,895.00,796.00,99.00
4317,126路,600005,12,1276.79,294.50,1,93.60,84.60,9.00,155.40,77.70,927.00,846.00,81.00
4317,126路,600006,13,1276.71,301.70,1,100.60,89.60,11.00,253.80,84.60,995.00,896.00,99.00
4317,126路,600007,12,1280.06,305.90,1,103.60,94.60,9.00,176.60,88.30,1027.00,946.00,81.00
4317,126路,600008,13,1277.04,316.90,1,110.60,99.60,11.00,283.80,94.60,1095.00,996.00,99.00
4317,126路,600009,11,1282.39,201.10,0,7.00,0.00,7.00,14.20,14.20,63.00,0.00,63.00
4317,126路,600010,12,1280.90,203.00,0,9.00,0.00,9.00,152.40,76.20,81.00,0.00,81.00
4317,126路,600011,13,1277.01,204.30,0,11.00,0.00,11.00,232.50,77.50,99.00,0.00,99.00
4317,126路,600012,12,1276.71,203.00,0,9.00,0.00,9.00,151.00,75.50,81.00,0.00,81.00
4317,126路,600013,13,1277.22,209.70,0,11.00,0.00,11.00,232.50,77.50,99.00,0.00,99.00
4317,126路,600014,12,1280.46,221.60,1,15.10,6.10,9.00,152.40,76.20,148.10,67.10,81.00
4317,126路,600015,13,1280.24,223.00,1,18.30,7.30,11.00,234.60,78.20,186.60,87.60,99.00
4317,126路,600016,12,504.01,90.90,0,9.00,0.00,9.00,152.40,76.20,81.00,0.00,81.00
