统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,24.0393,0.5945,1
2,301,600,24.9405,2.2046,10
3,601,900,23.3455,2.2419,10
4,901,1200,22.6197,3.0034,13
5,1201,1500,23.7823,2.3822,9
6,1501,1800,24.4966,2.6512,10
7,1801,2100,24.3411,2.6646,12
8,2101,2400,26.3777,2.4774,12
