统计时段,起始时间(s),结束时间(s),平均行程时间(s),平均行程距离(m),车均延误(s),车辆数
1,1,300,63.10,191.21,35.57,1
2,301,600,45.35,191.21,17.82,2
3,601,900,27.60,191.21,0.07,2
4,901,1200,63.10,191.21,35.57,1
5,1201,1500,62.00,191.17,34.47,2
6,1501,1800,27.60,191.21,0.07,1
7,1801,2100,27.60,191.21,0.07,2
8,2101,2400,27.60,191.21,0.07,1
