统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,28.6080,1.1497,4
2,301,600,25.8280,2.7777,13
3,601,900,28.8167,1.5074,8
4,901,1200,27.3336,2.5996,13
5,1201,1500,29.1124,2.7109,12
6,1501,1800,27.8962,1.9684,10
7,1801,2100,29.9804,1.6628,9
8,2101,2400,26.9160,1.2261,6
