统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,17.8643,1.9642,2
2,301,600,25.0000,1.0984,2
3,601,900,25.0000,1.1667,2
4,901,1200,25.0000,1.1169,2
5,1201,1500,18.5874,1.8253,2
6,1501,1800,7.2108,3.9352,2
7,1801,2100,8.0788,3.5966,2
8,2101,2400,8.0788,3.5621,2
