统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,25.0000,0.5918,1
2,301,600,25.0000,1.1647,2
3,601,900,18.7354,1.6947,2
4,901,1200,13.2881,2.0958,2
5,1201,1500,13.2880,2.1150,2
6,1501,1800,13.2880,2.1281,2
7,1801,2100,14.9204,1.9351,2
8,2101,2400,15.7176,0.9423,1
