统计时段,起始时间(s),结束时间(s),最大排队长度(m),最小排队长度(m),平均排队长度(m),平均排队车辆数(n)
1,1,300,48.60,0.00,5.43,0.94
2,301,600,69.38,0.00,6.38,1.12
3,601,900,76.92,0.00,6.60,1.13
4,901,1200,61.67,0.00,5.99,1.07
5,1201,1500,63.20,0.00,6.09,1.10
6,1501,1800,85.23,0.00,8.91,1.41
7,1801,2100,50.53,0.00,5.00,0.80
8,2101,2400,74.71,0.00,8.84,1.45
