线路编号,线路名称,车辆ID,行驶区间,乘客数,行程距离(m),行程时间(s),车辆停车次数,车辆停车时间(s),车辆区间停车时间(s),车辆站点停靠时间(s),站点编号,上客数,下客数,乘客站点平均侯车时间(s),乘客总候车时间(s),乘客总停车时间(s),乘客区间总停车时间(s),乘客区间平均停车时间(s),乘客站点总停车时间(s),乘客站点平均停车时间(s)
4317,126路,600001,->4241,10,409.30,148.70,1,73.80,64.80,9.00,4241,2,1,57.60,115.20,729.00,648.00,64.80,81.00,9.00
4317,126路,600001,4241->,11,868.40,143.40,1,10.10,10.10,0.00, ,0,0,0.00,0.00,111.10,111.10,10.10,0.00,0.00
4317,126路,600002,->4241,10,413.81,156.30,1,80.60,69.60,11.00,4241,3,1,65.30,195.90,795.00,696.00,69.60,99.00,11.00
4317,126路,600002,4241->,12,866.65,125.60,0,0.00,0.00,0.00, ,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4317,126路,600003,->4241,10,414.20,159.30,1,83.60,74.60,9.00,4241,2,1,68.30,136.60,827.00,746.00,74.60,81.00,9.00
4317,126路,600003,4241->,11,867.34,125.70,0,0.00,0.00,0.00, ,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4317,126路,600004,->4241,10,413.80,166.30,1,90.60,79.60,11.00,4241,3,1,75.30,225.90,895.00,796.00,79.60,99.00,11.00
4317,126路,600004,4241->,12,868.05,125.80,0,0.00,0.00,0.00, ,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4317,126路,600005,->4241,10,408.99,168.70,1,93.60,84.60,9.00,4241,2,1,77.70,155.40,927.00,846.00,84.60,81.00,9.00
4317,126路,600005,4241->,11,867.80,125.80,0,0.00,0.00,0.00, ,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4317,126路,600006,->4241,10,409.40,175.60,1,100.60,89.60,11.00,4241,3,1,84.60,253.80,995.00,896.00,89.60,99.00,11.00
4317,126路,600006,4241->,12,867.31,126.10,0,0.00,0.00,0.00, ,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4317,126路,600007,->4241,10,413.72,179.30,1,103.60,94.60,9.00,4241,2,1,88.30,176.60,1027.00,946.00,94.60,81.00,9.00
4317,126路,600007,4241->,11,866.35,126.60,0,0.00,0.00,0.00, ,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4317,126路,600008,->4241,10,409.39,185.60,1,110.60,99.60,11.00,4241,3,1,94.60,283.80,1095.00,996.00,99.60,99.00,11.00
4317,126路,600008,4241->,12,867.65,131.30,0,0.00,0.00,0.00, ,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4317,126路,600009,->4241,10,413.83,75.20,0,7.00,0.00,7.00,4241,1,1,14.20,14.20,63.00,0.00,0.00,63.00,7.00
4317,126路,600009,4241->,10,868.55,125.90,0,0.00,0.00,0.00, ,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4317,126路,600010,->4241,10,413.68,77.20,0,9.00,0.00,9.00,4241,2,1,76.20,152.40,81.00,0.00,0.00,81.00,9.00
4317,126路,600010,4241->,11,867.21,125.80,0,0.00,0.00,0.00, ,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4317,126路,600011,->4241,10,409.40,78.50,0,11.00,0.00,11.00,4241,3,1,77.50,232.50,99.00,0.00,0.00,99.00,11.00
4317,126路,600011,4241->,12,867.61,125.80,0,0.00,0.00,0.00, ,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4317,126路,600012,->4241,10,409.11,76.50,0,9.00,0.00,9.00,4241,2,1,75.50,151.00,81.00,0.00,0.00,81.00,9.00
4317,126路,600012,4241->,11,867.60,126.50,0,0.00,0.00,0.00, ,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4317,126路,600013,->4241,10,409.34,78.50,0,11.00,0.00,11.00,4241,3,1,77.50,232.50,99.00,0.00,0.00,99.00,11.00
4317,126路,600013,4241->,12,867.88,131.20,0,0.00,0.00,0.00, ,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4317,126路,600014,->4241,10,413.94,77.20,0,9.00,0.00,9.00,4241,2,1,76.20,152.40,81.00,0.00,0.00,81.00,9.00
4317,126路,600014,4241->,11,866.52,144.40,1,6.10,6.10,0.00, ,0,0,0.00,0.00,67.10,67.10,6.10,0.00,0.00
4317,126路,600015,->4241,10,413.83,79.20,0,11.00,0.00,11.00,4241,3,1,78.20,234.60,99.00,0.00,0.00,99.00,11.00
4317,126路,600015,4241->,12,866.41,143.80,1,7.30,7.30,0.00, ,0,0,0.00,0.00,87.60,87.60,7.30,0.00,0.00
4317,126路,600016,->4241,10,414.22,77.20,0,9.00,0.00,9.00,4241,2,1,76.20,152.40,81.00,0.00,0.00,81.00,9.00
4317,126路,600016,4241->,11,89.80,13.70,0,0.00,0.00,0.00, ,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
