统计时段,起始时间(s),结束时间(s),平均行程时间(s),平均行程距离(m),车均延误(s),车辆数
1,1,300,42.67,189.18,19.35,19
2,301,600,49.48,189.15,26.07,52
3,601,900,48.75,189.20,25.46,57
4,901,1200,48.80,189.13,25.86,59
5,1201,1500,49.71,189.04,26.83,60
6,1501,1800,51.64,189.07,28.76,63
7,1801,2100,45.37,189.06,21.89,55
8,2101,2400,52.20,189.09,28.80,49
