统计时段,起始时间(s),结束时间(s),平均行程时间(s),平均行程距离(m),车均延误(s),车辆数
1,1,300,53.77,214.59,27.69,77
2,301,600,81.23,214.72,54.89,85
3,601,900,76.65,214.82,50.50,95
4,901,1200,82.52,214.90,56.55,96
5,1201,1500,93.65,214.84,67.60,95
6,1501,1800,92.36,214.93,66.17,89
7,1801,2100,81.48,214.81,54.74,82
8,2101,2400,87.91,214.95,61.63,98
