统计时段,起始时间(s),结束时间(s),平均行程时间(s),平均行程距离(m),车均延误(s),车辆数
1,1,300,73.85,188.55,51.77,15
2,301,600,84.53,188.51,61.70,32
3,601,900,95.49,188.61,71.74,29
4,901,1200,113.56,188.77,90.88,30
5,1201,1500,135.46,188.91,112.01,31
6,1501,1800,156.30,188.76,133.55,31
7,1801,2100,159.46,188.61,136.54,32
8,2101,2400,161.03,188.75,138.22,26
