线路编号,线路名称,车辆ID,行驶区间,乘客数,行程距离(m),行程时间(s),车辆停车次数,车辆停车时间(s),车辆区间停车时间(s),车辆站点停靠时间(s),站点编号,上客数,下客数,乘客站点平均侯车时间(s),乘客总候车时间(s),乘客总停车时间(s),乘客区间总停车时间(s),乘客区间平均停车时间(s),乘客站点总停车时间(s),乘客站点平均停车时间(s)
4309,11路,400001,->4236,10,146.90,42.70,0,7.00,0.00,7.00,4236,1,1,30.70,30.70,63.00,0.00,0.00,63.00,7.00
4309,11路,400001,4236->,10,993.01,146.20,0,0.00,0.00,0.00, ,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4309,11路,400002,->4236,10,147.19,52.70,1,16.10,5.10,11.00,4236,3,1,70.70,212.10,150.00,51.00,5.10,99.00,11.00
4309,11路,400002,4236->,12,995.27,158.10,1,1.20,1.20,0.00, ,0,0,0.00,0.00,14.40,14.40,1.20,0.00,0.00
4309,11路,400003,->4236,10,147.06,78.70,4,47.30,36.30,11.00,4236,3,1,66.70,200.10,462.00,363.00,36.30,99.00,11.00
4309,11路,400003,4236->,12,993.40,264.30,2,98.20,98.20,0.00, ,0,0,0.00,0.00,1178.40,1178.40,98.20,0.00,0.00
4309,11路,400004,->4236,10,146.94,122.90,1,45.00,34.00,11.00,4236,3,1,80.90,242.70,439.00,340.00,34.00,99.00,11.00
4309,11路,400004,4236->,12,994.40,235.20,1,37.70,37.70,0.00, ,0,0,0.00,0.00,452.40,452.40,37.70,0.00,0.00
4309,11路,400005,->4236,10,147.06,155.30,2,93.20,82.20,11.00,4236,3,1,83.30,249.90,921.00,822.00,82.20,99.00,11.00
4309,11路,400005,4236->,12,996.07,205.10,2,35.20,35.20,0.00, ,0,0,0.00,0.00,422.40,422.40,35.20,0.00,0.00
4309,11路,400006,->4236,10,147.38,154.30,3,90.50,81.50,9.00,4236,2,1,82.30,164.60,896.00,815.00,81.50,81.00,9.00
4309,11路,400006,4236->,11,994.71,205.00,2,37.70,37.70,0.00, ,0,0,0.00,0.00,414.70,414.70,37.70,0.00,0.00
4309,11路,400007,->4236,10,147.41,140.50,2,90.20,79.20,11.00,4236,3,1,68.50,205.50,891.00,792.00,79.20,99.00,11.00
4309,11路,400007,4236->,12,994.01,237.90,4,66.60,66.60,0.00, ,0,0,0.00,0.00,799.20,799.20,66.60,0.00,0.00
4309,11路,400008,->4236,10,146.92,142.00,1,29.70,20.70,9.00,4236,2,1,70.00,140.00,288.00,207.00,20.70,81.00,9.00
4309,11路,400008,4236->,11,992.96,240.10,5,59.90,59.90,0.00, ,0,0,0.00,0.00,658.90,658.90,59.90,0.00,0.00
4309,11路,400009,->4236,10,147.16,180.70,1,116.30,105.30,11.00,4236,3,1,108.70,326.10,1152.00,1053.00,105.30,99.00,11.00
4309,11路,400009,4236->,12,997.91,206.80,4,37.20,37.20,0.00, ,0,0,0.00,0.00,446.40,446.40,37.20,0.00,0.00
4309,11路,400010,->4236,10,147.24,145.40,2,72.20,63.20,9.00,4236,2,1,73.40,146.80,713.00,632.00,63.20,81.00,9.00
4309,11路,400010,4236->,11,998.44,243.00,4,67.80,67.80,0.00, ,0,0,0.00,0.00,745.80,745.80,67.80,0.00,0.00
4309,11路,400011,->4236,10,147.36,174.00,1,72.40,61.40,11.00,4236,3,1,102.00,306.00,713.00,614.00,61.40,99.00,11.00
4309,11路,400011,4236->,12,994.06,221.20,3,54.50,54.50,0.00, ,0,0,0.00,0.00,654.00,654.00,54.50,0.00,0.00
4309,11路,400012,->4236,10,146.96,189.80,1,61.00,50.00,11.00,4236,3,1,87.80,263.40,599.00,500.00,50.00,99.00,11.00
4309,11路,400012,4236->,12,992.29,212.40,2,35.70,35.70,0.00, ,0,0,0.00,0.00,428.40,428.40,35.70,0.00,0.00
4309,11路,400013,->4236,10,1142.47,245.80,4,47.90,47.90,0.00,4236,0,0,0.00,0.00,479.00,479.00,47.90,0.00,0.00
4309,11路,400014,->4236,10,147.27,57.00,1,20.20,9.20,11.00,4236,3,1,75.00,225.00,191.00,92.00,9.20,99.00,11.00
4309,11路,400014,4236->,12,998.77,210.00,1,41.30,41.30,0.00, ,0,0,0.00,0.00,495.60,495.60,41.30,0.00,0.00
4309,11路,400015,->4236,10,147.14,191.90,0,0.00,0.00,0.00,4236,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4309,11路,400016,->4236,10,107.56,41.90,0,0.00,0.00,0.00,4236,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
