统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,16.9803,0.6092,2
2,301,600,20.0104,1.8969,7
3,601,900,21.4763,2.1324,8
4,901,1200,21.5178,2.5995,10
5,1201,1500,19.7019,3.0748,11
6,1501,1800,20.9788,2.8738,11
7,1801,2100,21.6193,3.0621,12
8,2101,2400,20.5663,1.8180,7
