统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,800008,57,17,小客车,4.87,67.30,22.75,5.21,997.57,3600.00
1,800017,246,220,小客车,4.66,63.20,63.20,0.00,997.67,3600.00
1,800024,252,213,小客车,4.32,56.40,48.32,0.24,40.11,2.99
2,800018,361,297,小客车,4.46,59.30,27.88,1.88,17.65,2.28
2,800025,363,286,小客车,4.52,60.40,29.45,1.39,17.89,2.19
2,800030,357,253,小客车,4.53,60.50,20.77,5.17,997.74,3600.00
2,800036,359,261,小客车,4.07,51.30,25.62,2.93,17.34,2.44
2,800059,366,256,小客车,4.12,52.40,29.84,1.05,17.69,2.13
2,800069,370,262,小客车,4.33,56.60,33.62,0.28,19.04,2.04
2,800070,368,256,小客车,4.37,57.40,30.61,0.87,17.84,2.10
